,Andalucía,Aragón,Asturias,Baleares,Canarias,Cantabria,Castilla-La Mancha,Castilla y León,Cataluña,Ceuta,C. Valenciana,Extremadura,Galicia,Madrid,Melilla,Murcia,Navarra,País Vasco,La Rioja,Total
2020-03-03,,,,,,,,,,,,,,,,,,,,
2020-03-04,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
2020-03-06,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
2020-03-07,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,3
2020-03-08,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,9
2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,0,1,0,0,0,0,0,0,2,0,0,0,0,13,0,0,0,1,1,18
2020-03-11,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,12
2020-03-12,0,2,1,1,0,0,1,0,1,0,0,1,0,25,0,0,0,5,0,37
2020-03-13,0,1,0,0,0,0,4,1,0,0,0,0,0,25,0,0,0,3,0,36
2020-03-14,2,0,0,0,1,0,1,2,2,0,3,1,0,5,0,0,0,0,1,16
2020-03-15,4,0,0,0,0,0,4,3,2,0,1,0,2,127,0,0,0,9,0,152
2020-03-16,1,4,0,0,0,0,7,3,4,0,0,0,0,0,0,0,1,0,1,21
2020-03-17,4,1,0,0,1,0,0,3,6,0,8,1,1,142,0,0,1,13,1,182
2020-03-18,8,1,0,0,1,1,11,10,23,0,9,3,0,35,0,0,1,4,0,107
2020-03-19,4,2,0,1,0,0,14,7,14,0,2,2,1,108,0,0,1,13,0,169
2020-03-20,7,2,1,0,1,0,0,14,27,0,9,2,1,130,0,0,1,18,2,235
2020-03-21,10,5,3,2,3,1,42,12,40,0,17,2,4,176,0,1,4,14,8,324
2020-03-22,7,2,3,0,2,3,28,19,69,0,19,2,3,217,0,0,5,12,3,394
2020-03-23,11,8,4,6,2,1,33,28,54,0,25,4,6,242,0,1,10,23,4,462
2020-03-24,29,5,10,0,5,3,71,22,37,0,21,8,2,272,0,1,7,13,8,514
2020-03-25,26,3,3,3,5,5,47,41,234,0,28,13,7,290,0,2,2,22,7,738
2020-03-26,21,8,2,4,3,3,53,41,156,0,24,19,5,265,1,3,16,25,6,655
2020-03-27,10,10,2,5,3,4,51,46,208,0,31,11,11,322,0,7,9,27,12,769
2020-03-28,31,0,4,4,9,1,81,69,190,1,36,19,4,345,0,2,12,14,10,832
2020-03-29,32,35,8,3,3,4,91,59,156,0,33,12,13,325,0,3,14,44,3,838
2020-03-30,29,13,8,8,1,1,83,62,184,0,43,6,6,310,0,5,18,32,3,812
2020-03-31,12,32,6,5,15,10,86,74,262,0,29,27,18,211,0,9,11,28,14,849
2020-04-01,60,31,8,4,7,17,66,69,177,0,56,19,19,262,0,3,17,44,5,864
2020-04-02,35,31,6,12,6,6,80,56,244,0,48,29,17,310,0,5,11,43,11,950
2020-04-03,33,24,1,11,5,4,62,82,242,0,68,19,18,308,1,4,10,32,8,932
2020-04-04,50,27,6,2,5,4,73,63,173,0,60,8,21,240,0,5,20,33,19,809
2020-04-05,44,19,4,4,2,0,66,61,129,1,42,10,15,218,0,8,7,38,6,674
2020-04-06,21,14,6,6,5,9,77,72,123,1,24,10,16,195,0,9,9,33,7,637
2020-04-07,37,28,10,3,4,8,45,63,148,1,35,30,14,235,0,10,15,38,19,743
2020-04-08,77,37,6,5,2,7,78,46,133,0,52,13,9,215,0,7,4,49,17,757
2020-04-09,47,36,8,0,1,6,67,54,107,0,43,12,18,214,0,3,8,54,5,683
2020-04-10,39,24,11,8,2,4,109,47,83,0,29,5,12,172,0,2,4,40,14,605
2020-04-11,46,16,7,5,1,5,52,51,100,0,22,15,18,112,0,4,9,36,11,510
2020-04-12,62,25,12,10,0,3,60,41,111,0,20,9,13,194,0,3,5,39,12,619
2020-04-13,16,14,9,5,1,7,83,42,96,0,38,9,10,145,0,4,7,27,4,517
2020-04-14,21,28,7,1,6,3,88,36,128,0,31,13,6,145,0,5,10,28,11,567
2020-04-15,29,22,10,7,2,12,41,38,90,0,38,8,9,156,0,3,3,43,12,523
2020-04-16,47,29,2,6,3,5,41,35,99,0,27,17,11,153,0,2,9,54,11,551
2020-04-17,28,19,6,3,4,7,56,29,-103,0,27,13,10,130,0,1,77,36,5,348
2020-04-18,27,39,13,14,4,5,61,28,127,0,43,8,14,125,0,3,16,28,10,565
2020-04-19,26,18,9,7,4,4,50,29,54,0,23,4,12,107,0,1,15,42,5,410
2020-04-20,20,18,4,2,0,5,58,35,76,0,14,5,6,112,0,1,16,19,8,399
2020-04-21,4,6,2,4,1,7,54,28,143,0,10,8,8,109,0,3,12,22,9,430
2020-04-22,33,13,9,3,1,2,65,33,95,0,17,7,8,117,0,3,4,21,4,435
2020-04-23,29,25,12,4,0,6,48,28,96,0,18,3,7,107,0,1,8,43,5,440
2020-04-24,28,14,8,4,7,5,67,30,50,0,23,4,7,81,0,1,8,26,4,367
2020-04-25,24,14,8,2,2,4,37,27,105,0,25,5,6,83,0,1,12,19,4,378
